id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup,IMDb Score Bins
ts79409,A.I.C.O. -Incarnation-,SHOW,2018,TV-14,24,"['scifi', 'animation', 'action']",['JP'],1,tt8116380,6.3,1189,8.277,2010,6
ts53399,Eternal Love,SHOW,2017,TV-14,45,"['scifi', 'drama', 'fantasy', 'romance', 'family']",['CN'],1,tt6488862,8.4,2214,20.153,2010,8
ts77034,A Love So Beautiful,SHOW,2017,TV-14,41,"['drama', 'comedy', 'romance']",['CN'],1,tt8434720,8,1386,42.322,2010,8
ts80057,Last Hope,SHOW,2018,TV-14,24,"['scifi', 'animation', 'action']",['JP'],1,tt8893554,5.8,427,6.93,2010,4
ts55936,My Secret Romance,SHOW,2017,TV-14,52,"['comedy', 'romance']",['KR'],1,tt6300100,7.2,3108,15.98,2010,6
ts80059,Trump: An American Dream,SHOW,2017,TV-14,55,"['documentation', 'european']",['GB'],1,tt7596008,7.2,4003,3.824,2010,6
ts56636,My Sassy Girl,SHOW,2017,TV-14,41,"['comedy', 'romance']",['KR'],1,tt6175760,6.9,561,6.751,2010,6
ts83359,100 Days My Prince,SHOW,2018,TV-14,75,"['drama', 'thriller', 'comedy', 'history', 'romance', 'action']",['KR'],1,tt8199972,7.8,1938,14.871,2010,6
ts80084,Dragon Pilot: Hisone and Masotan,SHOW,2018,TV-14,24,"['scifi', 'drama', 'animation', 'fantasy']",['JP'],1,tt8528256,6.9,494,26.334,2010,6
ts83213,The Rise of Phoenixes,SHOW,2018,TV-14,45,"['drama', 'history', 'romance']",['CN'],1,tt7052634,8.4,1477,19.737,2010,8
ts79988,Lost Song,SHOW,2018,TV-14,24,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'music', 'romance']",['JP'],1,tt7211600,7,375,7.2,2010,6
ts92726,They've Gotta Have Us,SHOW,2018,TV-14,59,['documentation'],['GB'],1,tt9268756,7.7,292,3.554,2010,6
ts82445,Ashes of Love,SHOW,2018,TV-14,43,"['drama', 'comedy', 'thriller', 'fantasy', 'romance']",['CN'],1,tt8976346,8.5,1875,25.4,2010,8
ts83045,Accidentally In Love,SHOW,2018,TV-14,29,"['comedy', 'drama', 'music', 'romance']",['CN'],1,tt9077184,7.6,1100,6.473,2010,6
ts75887,Paul Hollywood's Big Continental Road Trip,SHOW,2017,TV-14,58,"['documentation', 'european']",['GB'],1,tt7936386,7.4,206,1.817,2010,6
ts80859,Here to Heart,SHOW,2018,TV-14,45,"['drama', 'romance']",['CN'],1,tt8791742,7.5,219,4.003,2010,6
ts77219,Part-Time Idol,SHOW,2017,TV-14,40,"['drama', 'family', 'music', 'comedy']",['KR'],1,tt8835780,6.7,108,5.068,2010,6
ts82887,The Could've-Gone-All-the-Way Committee,SHOW,2018,TV-14,24,"['comedy', 'drama']",['JP'],1,tt8499662,6.8,102,5.757,2010,6
ts56251,ID-0,SHOW,2017,TV-14,24,"['scifi', 'animation', 'action', 'drama']",['JP'],1,tt7161218,6.2,320,2.72,2010,6
ts84341,What She Put on the Table,SHOW,2017,TV-14,85,['drama'],['TW'],1,tt7073222,7.3,30,0.6,2010,6
ts215683,The Untamed,SHOW,2019,TV-14,44,"['action', 'comedy', 'romance', 'drama', 'fantasy', 'horror']",['CN'],1,tt10554898,8.8,5963,52.565,2010,8
